title,url,raw_price,location
Prodej bytu 1+kk 42 m²,https://reality.idnes.cz/detail/prodej/byt/slunecni-pobrezi/698cfb4b740226624a067f3b/,824 500 Kč,"Sluneční pobřeží, Bulharsko"
Prodej bytu 1+kk 32 m²,https://reality.idnes.cz/detail/prodej/byt/nesebar/698cfb4197b9deb1d60fadfa/,1 428 325 Kč,"Nesebar, Bulharsko"
Prodej bytu 1+kk 61 m²,https://reality.idnes.cz/detail/prodej/byt/nesebar/698cfb579d09be4bca03bca4/,1 697 500 Kč,"Nesebar, Bulharsko"
Prodej bytu 2+kk 72 m²,https://reality.idnes.cz/detail/prodej/byt/santa-maria/6906157cf7853ea06c082cbe/,5 031 875 Kč,"Santa Maria, Kapverdy"
Prodej bytu 3+kk 110 m²,https://reality.idnes.cz/detail/prodej/byt/torrox-malaga/6996c07fbaf2ad6c85085098/,12 052 250 Kč,"Torrox, Málaga, Španělsko"
Prodej bytu 4+kk 82 m²,https://reality.idnes.cz/detail/prodej/byt/guardamar-del-segura-alicante/6996b6302a6e52849e032dc4/,9 093 750 Kč,"Guardamar del Segura, Alicante, Španělsko"
Prodej bytu 3+kk 80 m²,https://reality.idnes.cz/detail/prodej/byt/torrox-malaga/6996c34fbe6bbea50d0f3cfd/,7 978 250 Kč,"Torrox, Málaga, Španělsko"
Prodej bytu 2+kk 60 m²,https://reality.idnes.cz/detail/prodej/byt/karlovy-vary-podebradska/6931a326be4b3fd9de0c800c/,4 500 000 Kč,"Poděbradská, Karlovy Vary"
Prodej bytu 3+kk 67 m²,https://reality.idnes.cz/detail/prodej/byt/chvalsiny/69411aad78996532000b97a9/,3 100 000 Kč,"Chvalšiny, okres Český Krumlov"
Prodej bytu 1+kk 28 m²,https://reality.idnes.cz/detail/prodej/byt/brno-rotalova/6874fe1503365300bf046686/,5 442 022 Kč,"Rotalova, Brno - Husovice"
